GMT	Lokální èas	RTISZDef.Prefix	RTISZDef.Suffix	KOTEL_SkupRiz	KOTEL_Pdg	KOTEL_Pdgnt	KOTEL_RRPR	KOTEL_RRSR	KOTEL_RRSRP	KOTEL_RRSRM	KOTEL_CmaxDO	KOTEL_CmaxNorm	KOTEL_nP	KOTEL_SRVreq	KOTEL_SRUreq	KOTEL_Pjm	KOTEL_Pmaxtech	KOTEL_Pmintech	KOTEL_Cmaxtech	KOTEL_CostA	KOTEL_CostB	KOTEL_CostC	KOTEL_CostAnt	KOTEL_CostBnt	KOTEL_CostCnt	KOTEL_vsA	KOTEL_vsB	KOTEL_PdgMin1	KOTEL_PdgMin2	KOTEL_PdgMin3	KOTEL_PdgMin4	KOTEL_PdgMin5	KOTEL_PdgMin6	KOTEL_PdgMin7	KOTEL_PdgMax1	KOTEL_PdgMax2	KOTEL_PdgMax3	KOTEL_PdgMax4	KOTEL_PdgMax5	KOTEL_PdgMax6	KOTEL_PdgMax7	KOTEL_TORPnt	KOTEL_TORMnt	KOTEL_PmaxtechPR	KOTEL_PmintechPR	KOTEL_CostAnt	KOTEL_CostBnt	KOTEL_CostCnt	KOTEL_BsSE	KOTEL_BsPpS	KOTEL_TGinfo	KOTEL_RZMZ5P	KOTEL_AMZ5P	KOTEL_NMZ5P	KOTEL_RZMZ15P	KOTEL_RZMZ15M	KOTEL_PlynDG	KOTEL_PlynMax24	KOTEL_PlynMax	KOTEL_Pminabs	KOTEL_Pmaxabs	KOTEL_RZRRPP1c	KOTEL_RZRRPP2c	KOTEL_RZRRPP3c	KOTEL_RZRRPP4c	KOTEL_RZRRPM1c	KOTEL_RZRRPM2c	KOTEL_RZRRPM3c	KOTEL_RZRRPM4c	KOTEL_PNZ	KOTEL_RRPR1r	KOTEL_RRPR2r	KOTEL_RRPR3r	KOTEL_RRPR4r	KOTEL_RRPR5r	KOTEL_RRPR6r
23.11.2021 18:00	23.11.2021 19:00	ETU	24	2	180	165	0	0	0	0	0	4	0	0	1	200	180	100	4	0	1 427	36 291	0	1 510	44 361	0	5	100	0	0	0	0	0	0	180	0	0	0	0	0	0	0	76	170	110	0	1 510	44 361	1	1	0	0	0	0	0	0	0	0	0	100	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23.11.2021 18:00	23.11.2021 19:00	ELE	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23.11.2021 18:00	23.11.2021 19:00	ELE	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23.11.2021 18:00	23.11.2021 19:00	ELE	4	2	90	75	0	0	0	0	0	2	0	0	1	110	90	90	2	1	1 537	14 622	1	1 750	22 202	0	4	90	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0	90	90	1	1 750	22 202	1	1	0	0	0	0	0	0	0	0	0	50	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23.11.2021 18:00	23.11.2021 19:00	TDK	f	2	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	2 531	0	0	2 531	909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2 531	909	1	1	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23.11.2021 18:00	23.11.2021 19:00	EHO	f	2	45	34	0	0	0	0	0	4	0	0	0	80	45	40	4	0	376	2 175	0	429	2 699	0	6	40	0	0	0	0	0	0	45	0	0	0	0	0	0	0	4	45	40	0	429	2 699	1	1	0	0	0	0	0	0	0	0	0	36	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23.11.2021 18:00	23.11.2021 19:00	EDU	b1	2	499	462	0	0	0	0	0	5	0	0	1	500	499	499	5	0	106	8 427	0	108	12 357	0	37	499	0	0	0	0	0	0	499	0	0	0	0	0	0	0	0	499	499	0	108	12 357	1	1	0	0	0	0	0	0	0	0	0	350	530	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23.11.2021 18:00	23.11.2021 19:00	EDU	b2	2	0	-4	0	0	0	0	0	0	0	0	0	500	0	0	0	0	119	9 373	0	119	9 799	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119	9 799	1	1	0	0	0	0	0	0	0	0	0	366	520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23.11.2021 18:00	23.11.2021 19:00	EDU	b3	2	499	468	0	0	0	0	0	5	0	0	1	500	499	499	5	0	113	8 857	0	114	12 333	0	31	499	0	0	0	0	0	0	499	0	0	0	0	0	0	0	0	499	499	0	114	12 333	1	1	0	0	0	0	0	0	0	0	0	366	530	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23.11.2021 18:00	23.11.2021 19:00	EDU	b4	2	503	472	0	0	0	0	0	5	0	0	1	503	503	503	5	0	115	9 141	0	117	12 683	0	31	503	0	0	0	0	0	0	503	0	0	0	0	0	0	0	0	503	503	0	117	12 683	1	1	0	0	0	0	0	0	0	0	0	395	530	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23.11.2021 18:00	23.11.2021 19:00	EDE	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23.11.2021 18:00	23.11.2021 19:00	EDE	2	1	185	172	0	0	15	0	2	4	0	1	1	200	200	130	4	5	1 995	452 453	6	2 144	462 532	0	5	130	0	0	0	0	0	0	185	0	0	0	0	0	0	0	53	195	140	6	2 144	462 532	5	5	0	0	0	0	0	0	0	0	0	100	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23.11.2021 18:00	23.11.2021 19:00	EDE	3	2	170	157	0	0	0	0	0	4	0	1	1	200	170	120	4	5	1 990	171 013	6	2 138	181 063	0	6	100	0	0	0	0	0	0	170	0	0	0	0	0	0	0	67	160	120	6	2 138	181 063	5	5	0	0	0	0	0	0	0	0	0	100	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
