GMT	Lokální čas	RTISZDef.Prefix	RTISZDef.Suffix	KOTEL_SkupRiz	KOTEL_Pdg	KOTEL_Pdgnt	KOTEL_RRPR	KOTEL_RRSR	KOTEL_RRSRP	KOTEL_RRSRM	KOTEL_CmaxDO	KOTEL_CmaxNorm	KOTEL_nP	KOTEL_SRVreq	KOTEL_SRUreq	KOTEL_Pjm	KOTEL_Pmaxtech	KOTEL_Pmintech	KOTEL_Cmaxtech	KOTEL_CostA	KOTEL_CostB	KOTEL_CostC	KOTEL_CostAnt	KOTEL_CostBnt	KOTEL_CostCnt	KOTEL_vsA	KOTEL_vsB	KOTEL_PdgMin1	KOTEL_PdgMin2	KOTEL_PdgMin3	KOTEL_PdgMin4	KOTEL_PdgMin5	KOTEL_PdgMin6	KOTEL_PdgMin7	KOTEL_PdgMax1	KOTEL_PdgMax2	KOTEL_PdgMax3	KOTEL_PdgMax4	KOTEL_PdgMax5	KOTEL_PdgMax6	KOTEL_PdgMax7	KOTEL_TORPnt	KOTEL_TORMnt	KOTEL_PmaxtechPR	KOTEL_PmintechPR	KOTEL_CostAnt	KOTEL_CostBnt	KOTEL_CostCnt	KOTEL_BsSE	KOTEL_BsPpS	KOTEL_TGinfo	KOTEL_RZMZ5P	KOTEL_AMZ5P	KOTEL_NMZ5P	KOTEL_RZMZ15P	KOTEL_RZMZ15M	KOTEL_PlynDG	KOTEL_PlynMax24	KOTEL_PlynMax	KOTEL_Pminabs	KOTEL_Pmaxabs	KOTEL_RZRRPP1c	KOTEL_RZRRPP2c	KOTEL_RZRRPP3c	KOTEL_RZRRPP4c	KOTEL_RZRRPM1c	KOTEL_RZRRPM2c	KOTEL_RZRRPM3c	KOTEL_RZRRPM4c	KOTEL_PNZ	KOTEL_RRPR1r	KOTEL_RRPR2r	KOTEL_RRPR3r	KOTEL_RRPR4r	KOTEL_RRPR5r	KOTEL_RRPR6r
21.10.2021 13:00	21.10.2021 15:00	TDK	f	2	0	0	0	0	0	0	0	1	0	0	0	7	0	0	1	0	10 555	0	0	13 888	3 332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13 888	3 332	1	1	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21.10.2021 13:00	21.10.2021 15:00	EHO	f	2	38	28	0	0	0	0	0	4	0	0	0	80	38	38	4	0	438	3 059	0	500	3 473	0	6	38	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	38	38	0	500	3 473	1	1	0	0	0	0	0	0	0	0	0	36	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21.10.2021 13:00	21.10.2021 15:00	EDU	b1	2	491	454	0	0	0	0	0	5	0	0	1	500	491	491	5	0	111	8 432	0	113	12 516	0	37	491	0	0	0	0	0	0	491	0	0	0	0	0	0	0	0	491	491	0	113	12 516	1	1	0	0	0	0	0	0	0	0	0	350	530	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21.10.2021 13:00	21.10.2021 15:00	EDU	b2	2	487	456	0	0	0	0	0	5	0	0	1	500	487	487	5	0	122	9 378	0	124	13 141	0	31	487	0	0	0	0	0	0	487	0	0	0	0	0	0	0	0	487	487	0	124	13 141	1	1	0	0	0	0	0	0	0	0	0	366	520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21.10.2021 13:00	21.10.2021 15:00	EDU	b3	2	491	460	0	0	0	0	0	5	0	0	1	500	491	491	5	0	117	8 862	0	119	12 468	0	31	491	0	0	0	0	0	0	491	0	0	0	0	0	0	0	0	491	491	0	119	12 468	1	1	0	0	0	0	0	0	0	0	0	366	530	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21.10.2021 13:00	21.10.2021 15:00	EDU	b4	2	495	464	0	0	0	0	0	5	0	0	1	500	495	495	5	0	117	8 953	0	119	12 569	0	31	495	0	0	0	0	0	0	495	0	0	0	0	0	0	0	0	495	495	0	119	12 569	1	1	0	0	0	0	0	0	0	0	0	395	530	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21.10.2021 13:00	21.10.2021 15:00	EDE	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21.10.2021 13:00	21.10.2021 15:00	EDE	2	2	0	-1	0	0	0	0	0	4	0	0	0	200	0	0	4	5	1 939	592 103	6	2 103	605 587	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2 103	605 587	5	5	0	0	0	0	0	0	0	0	0	100	200	0	0	0	0	0	0	0	0	185	0	0	0	0	0	0
21.10.2021 13:00	21.10.2021 15:00	EDE	3	2	0	-4	0	0	0	0	0	4	0	0	0	200	0	0	4	5	1 936	165 842	6	2 100	179 304	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2 100	179 304	5	5	0	0	0	0	0	0	0	0	0	100	200	0	0	0	0	0	0	0	0	156	0	0	0	0	0	0
21.10.2021 13:00	21.10.2021 15:00	EDE	4	2	0	-1	0	0	0	0	0	4	0	0	0	200	0	0	4	5	1 947	168 141	6	2 112	181 682	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2 112	181 682	5	5	0	0	0	0	0	0	0	0	0	100	200	0	0	0	0	0	0	0	0	185	0	0	0	0	0	0
